Name Power Maul
// 
//*file info*
//
ShortName powermaul3
Icon PowerMaul
Model Manus_WH40K.Gun.WH40K_Gun_ThunderHammer_1
ModelScale 0.11
Texture Skin_WH40K_Gun_ThunderHammer_1A
Color 255 255 255
//
//*sounds*
//
MeleeSound PowerSwing
GunSoundRange 16
//
//*gun stats*
//
UsableByPlayers True
UsableByMechas False
OneHanded False
//
//*melee*
//
MeleeDamage 21
MeleeTime 20
//
//*status effects*
//
//MoveSpeedModifier 1.0
KnockbackModifier 1.2
Knockback 0.1
//
//*attachments*
//
AllowAllAttachments false
AllowAttachments meleeweapons1 meleeweapons2 meleeweapons3 meleeweapons4
NumGenericAttachmentSlots 4
